Time;"Answering ""YES""";"Answering ""NO"""
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;0;0
33;0;0
34;0;0
35;0;0
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;0.003679;0
42;0.046982;0
43;0.164277;0
44;0.308508;0
45;0.398048;0
46;0.403068;0
47;0.345141;0
48;0.260697;0
49;0.177092;0
50;0.107434;0
51;0.05468;0.003679
52;0.017037;0.046982
53;-0.008491;0.164277
54;-0.024613;0.308508
55;-0.033474;0.398048
56;-0.036825;0.403068
57;-0.036197;0.345141
58;-0.032961;0.260697
59;-0.028295;0.177092
60;-0.023132;0.107434
61;-0.018132;0.05468
62;-0.013693;0.017037
63;-0.010003;-0.008491
64;-0.00709;-0.024613
65;-0.004888;-0.033474
66;0.000392;-0.036825
67;0.044824;-0.036197
68;0.162889;-0.032961
69;0.307633;-0.028295
70;0.397507;-0.023132
71;0.402739;-0.018132
72;0.344944;-0.013693
73;0.260624;-0.010003
74;0.177092;-0.00709
75;0.107434;-0.004888
76;0.05468;0.000392
77;0.017037;0.044824
78;-0.008491;0.162889
79;-0.024613;0.307633
80;-0.033474;0.397507
81;-0.036825;0.402739
82;-0.036197;0.344944
83;-0.032961;0.260624
84;-0.028295;0.177092
85;-0.023132;0.107434
86;-0.018132;0.05468
87;-0.013693;0.017037
88;-0.010003;-0.008491
89;-0.00709;-0.024613
90;-0.004888;-0.033474
91;0.000392;-0.036825
92;0.044824;-0.036197
93;0.162889;-0.032961
94;0.307633;-0.028295
95;0.397507;-0.023132
96;0.402739;-0.018132
97;0.344944;-0.013693
98;0.260624;-0.010003
99;0.177092;-0.00709
100;0.107434;-0.004888
101;0.05468;0.000392
102;0.017037;0.044824
103;-0.008491;0.162889
104;-0.024613;0.307633
105;-0.033474;0.397507
106;-0.036825;0.402739
107;-0.036197;0.344944
108;-0.032961;0.260624
109;-0.028295;0.177092
110;-0.023132;0.107434
111;-0.018132;0.05468
112;-0.013693;0.017037
113;-0.010003;-0.008491
114;-0.00709;-0.024613
115;-0.004888;-0.033474
116;0.000392;-0.036825
117;0.044824;-0.036197
118;0.162889;-0.032961
119;0.307633;-0.028295
120;0.397507;-0.023132
121;0.402739;-0.018132
122;0.344944;-0.013693
123;0.260624;-0.010003
124;0.177092;-0.00709
125;0.107434;-0.004888
126;0.05468;0.000392
127;0.017037;0.044824
128;-0.008491;0.162889
129;-0.024613;0.307633
130;-0.033474;0.397507
131;-0.036825;0.402739
132;-0.036197;0.344944
133;-0.032961;0.260624
134;-0.028295;0.177092
135;-0.023132;0.107434
136;-0.018132;0.05468
137;-0.013693;0.017037
138;-0.010003;-0.008491
139;-0.00709;-0.024613
140;-0.004888;-0.033474
141;0.000392;-0.036825
142;0.044824;-0.036197
143;0.162889;-0.032961
144;0.307633;-0.028295
145;0.397507;-0.023132
146;0.402739;-0.018132
147;0.344944;-0.013693
148;0.260624;-0.010003
149;0.177092;-0.00709
150;0.107434;-0.004888
151;0.05468;0.000392
152;0.017037;0.044824
153;-0.008491;0.162889
154;-0.024613;0.307633
155;-0.033474;0.397507
156;-0.036825;0.402739
157;-0.036197;0.344944
158;-0.032961;0.260624
159;-0.028295;0.177092
160;-0.023132;0.107434
161;-0.018132;0.05468
162;-0.013693;0.017037
163;-0.010003;-0.008491
164;-0.00709;-0.024613
165;-0.004888;-0.033474
166;-0.003287;-0.036825
167;-0.002159;-0.036197
168;-0.001388;-0.032961
169;-0.000875;-0.028295
170;-0.000541;-0.023132
171;-0.000329;-0.018132
172;-0.000197;-0.013693
173;-0.000073;-0.010003
174;0;-0.00709
175;0;-0.004888
176;0;-0.003287
177;0;-0.002159
178;0;-0.001388
179;0;-0.000875
180;0;-0.000541
181;0;0.00335
182;0;0.046786
183;0;0.164204
184;0;0.308508
185;0;0.398048
186;0;0.403068
187;0;0.345141
188;0;0.260697
189;0;0.177092
190;0;0.107434
191;0.003679;0.05468
192;0.046982;0.017037
193;0.164277;-0.008491
194;0.308508;-0.024613
195;0.398048;-0.033474
196;0.403068;-0.036825
197;0.345141;-0.036197
198;0.260697;-0.032961
199;0.177092;-0.028295
200;0.107434;-0.023132
201;0.05468;-0.018132
202;0.017037;-0.013693
203;-0.008491;-0.010003
204;-0.024613;-0.00709
205;-0.033474;-0.004888
206;-0.036825;0.000392
207;-0.036197;0.044824
208;-0.032961;0.162889
209;-0.028295;0.307633
210;-0.023132;0.397507
211;-0.018132;0.402739
212;-0.013693;0.344944
213;-0.010003;0.260624
214;-0.00709;0.177092
215;-0.004888;0.107434
216;0.000392;0.05468
217;0.044824;0.017037
218;0.162889;-0.008491
219;0.307633;-0.024613
220;0.397507;-0.033474
221;0.402739;-0.036825
222;0.344944;-0.036197
223;0.260624;-0.032961
224;0.177092;-0.028295
225;0.107434;-0.023132
226;0.05468;-0.018132
227;0.017037;-0.013693
228;-0.008491;-0.010003
229;-0.024613;-0.00709
230;-0.033474;-0.004888
231;-0.036825;0.000392
232;-0.036197;0.044824
233;-0.032961;0.162889
234;-0.028295;0.307633
235;-0.023132;0.397507
236;-0.018132;0.402739
237;-0.013693;0.344944
238;-0.010003;0.260624
239;-0.00709;0.177092
240;-0.004888;0.107434
241;0.000392;0.05468
242;0.044824;0.017037
243;0.162889;-0.008491
244;0.307633;-0.024613
245;0.397507;-0.033474
246;0.402739;-0.036825
247;0.344944;-0.036197
248;0.260624;-0.032961
249;0.177092;-0.028295
250;0.107434;-0.023132
251;0.05468;-0.018132
252;0.017037;-0.013693
253;-0.008491;-0.010003
254;-0.024613;-0.00709
255;-0.033474;-0.004888
256;-0.036825;0.000392
257;-0.036197;0.044824
258;-0.032961;0.162889
259;-0.028295;0.307633
260;-0.023132;0.397507
261;-0.018132;0.402739
262;-0.013693;0.344944
263;-0.010003;0.260624
264;-0.00709;0.177092
265;-0.004888;0.107434
266;0.000392;0.05468
267;0.044824;0.017037
268;0.162889;-0.008491
269;0.307633;-0.024613
270;0.397507;-0.033474
271;0.402739;-0.036825
272;0.344944;-0.036197
273;0.260624;-0.032961
274;0.177092;-0.028295
275;0.107434;-0.023132
276;0.05468;-0.018132
277;0.017037;-0.013693
278;-0.008491;-0.010003
279;-0.024613;-0.00709
280;-0.033474;-0.004888
281;-0.036825;0.000392
282;-0.036197;0.044824
283;-0.032961;0.162889
284;-0.028295;0.307633
285;-0.023132;0.397507
286;-0.018132;0.402739
287;-0.013693;0.344944
288;-0.010003;0.260624
289;-0.00709;0.177092
290;-0.004888;0.107434
291;0.000392;0.05468
292;0.044824;0.017037
293;0.162889;-0.008491
294;0.307633;-0.024613
295;0.397507;-0.033474
296;0.402739;-0.036825
297;0.344944;-0.036197
298;0.260624;-0.032961
299;0.177092;-0.028295
300;0.107434;-0.023132
301;0.05468;-0.018132
302;0.017037;-0.013693
303;-0.008491;-0.010003
304;-0.024613;-0.00709
